DataSet;BHID;Depth_From;Depth_To;SampleID;Au_ppm;Ag_ppm;Cu_ppm;Pb_ppm;Zn_ppm;Sampled_Date;Sample_Type;Batch_No
CHMine;560002;0.0000;0.8000;560002;1.2300;124.7000;;230.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560002;0.8000;1.6000;560003;0.0600;4.5000;;62.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560002;1.6000;2.4000;560004;0.1000;9.9000;;123.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560002;2.4000;3.2000;560005;1.9700;242.4000;;169.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560002;3.2000;4.0000;560006;0.3100;30.3000;;54.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560002;4.0000;4.7000;560007;0.5400;48.8000;;93.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560010;0.0000;0.9000;560010;0.0800;11.8000;;-50.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560010;0.9000;1.8000;560011;0.1300;6.4000;;-50.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560010;1.8000;2.7000;560012;0.0700;10.2000;;60.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560010;2.7000;3.6000;560013;0.0150;2.4000;;-50.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560010;3.6000;4.5000;560014;0.0150;2.7000;;72.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560010;4.5000;5.4000;560015;0.3800;81.7000;;488.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560010;5.4000;6.3000;560016;0.4500;43.1000;;190.0000;;8/08/2019;CHANNEL;LQC19-1942
CHMine;560018;0.0000;1.0000;560018;0.2000;38.7000;;455.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560018;1.0000;2.0000;560019;0.2100;39.3000;;481.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560018;2.0000;3.0000;560020;0.9300;183.6000;;398.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560018;3.0000;4.0000;560021;0.1900;48.9000;;325.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560018;4.0000;5.0000;560022;0.4600;100.2000;;165.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560023;0.0000;1.0000;560023;2.0500;394.0000;;196.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560023;1.0000;2.0000;560024;0.4400;72.3000;;71.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560023;2.0000;3.0000;560025;0.2400;29.6000;;54.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560023;3.0000;4.0000;560026;0.3400;70.0000;;87.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560023;4.0000;5.0000;560027;0.1000;22.7000;;-50.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560023;5.0000;6.0000;560028;0.5400;129.4000;;101.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560030;0.0000;0.9000;560030;0.0800;7.1000;;-50.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560030;0.9000;1.8000;560031;0.0800;8.8000;;71.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560030;1.8000;2.7000;560032;0.2200;44.7000;;68.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560030;2.7000;3.6000;560033;0.3700;62.3000;;110.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560030;3.6000;4.5000;560034;0.2000;34.0000;;85.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560036;0.0000;1.0000;560036;1.1100;141.3000;;112.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560036;1.0000;1.9000;560037;0.1000;13.1000;;93.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560036;1.9000;2.8000;560038;0.0150;3.2000;;71.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560036;2.8000;3.8000;560039;0.1900;20.1000;;381.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560036;3.8000;4.7000;560040;2.7700;435.0000;;10718.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560036;4.7000;5.7000;560041;0.0600;5.3000;;125.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560044;0.0000;0.9000;560044;1.8800;232.7000;;200.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560044;0.9000;1.9000;560045;1.7900;234.3000;;902.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560044;1.9000;2.8000;560046;0.6800;89.4000;;122.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560044;2.8000;3.7000;560047;7.7600;944.0000;;3833.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560044;3.7000;4.7000;560048;2.3000;485.0000;;18350.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560044;4.7000;5.5000;560049;5.6400;1171.0000;;57555.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560044;5.5000;6.4000;560050;4.6000;760.0000;;42046.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560053;0.0000;0.9000;560053;0.0400;5.0000;;135.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560053;0.9000;1.8000;560054;0.0150;1.0000;;162.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560053;1.8000;2.6000;560055;0.0150;1.0000;;72.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560053;2.6000;3.4000;560056;0.0600;11.0000;;102.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560053;3.4000;4.3000;560057;0.0800;10.0000;;82.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560053;4.3000;5.1000;560058;0.1000;3.3000;;112.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560059;0.0000;1.0000;560059;0.6700;137.0000;;687.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560059;1.0000;2.0000;560060;0.7500;132.1000;;422.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560059;2.0000;3.0000;560061;0.8500;175.0000;;372.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560059;3.0000;4.0000;560062;0.1200;17.3000;;118.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560064;0.0000;0.8000;560064;0.0700;8.8000;;527.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560064;0.8000;1.6000;560065;0.1500;6.9000;;203.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560064;1.6000;2.5000;560066;0.0600;11.2000;;60.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560064;2.5000;3.4000;560067;0.1600;17.5000;;190.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560064;3.4000;4.2000;560068;0.2200;76.7000;;750.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560064;4.2000;5.0000;560069;0.1800;8.4000;;796.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560071;0.0000;0.9000;560071;0.8000;179.9000;;247.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560071;0.9000;1.8000;560072;1.3100;321.0000;;392.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560071;1.8000;2.8000;560073;0.6300;131.9000;;159.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560071;2.8000;3.7000;560074;1.7600;369.0000;;424.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560071;3.7000;4.7000;560075;1.2200;254.4000;;351.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560071;4.7000;5.7000;560076;1.3700;281.0000;;450.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560071;5.7000;6.7000;560077;3.5000;606.0000;;415.0000;;9/08/2019;CHANNEL;LQC19-1990
CHMine;560080;0.0000;0.9000;560080;0.2300;38.1000;;619.0000;;10/08/2019;CHANNEL;LQC19-1993
CHMine;560080;0.9000;1.8000;560081;0.2800;37.6000;;128.0000;;10/08/2019;CHANNEL;LQC19-1993
CHMine;560080;1.8000;2.7000;560082;2.1900;417.0000;;543.0000;;10/08/2019;CHANNEL;LQC19-1993
CHMine;560080;2.7000;3.6000;560083;0.7900;161.0000;;653.0000;;10/08/2019;CHANNEL;LQC19-1993
CHMine;560080;3.6000;4.4000;560084;0.3600;62.9000;;171.0000;;10/08/2019;CHANNEL;LQC19-1993
CHMine;560080;4.4000;5.2000;560085;0.9800;170.5000;;1048.0000;;10/08/2019;CHANNEL;LQC19-1993
CHMine;560087;0.0000;0.5000;560087;0.0500;3.4000;;-50.0000;;11/08/2019;CHANNEL;LQC19-1994
CHMine;560087;0.5000;2.0000;560088;4.4500;616.0000;;1005.0000;;11/08/2019;CHANNEL;LQC19-1994
CHMine;560087;2.0000;2.8000;560089;0.1600;29.1000;;110.0000;;11/08/2019;CHANNEL;LQC19-1994
CHMine;560087;2.8000;3.7000;560090;0.3700;68.9000;;128.0000;;11/08/2019;CHANNEL;LQC19-1994
CHMine;560087;3.7000;4.5000;560091;0.0800;8.7000;;89.0000;;11/08/2019;CHANNEL;LQC19-1994
CHMine;560093;0.0000;0.8000;560093;0.1500;19.8000;;197.0000;;11/08/2019;CHANNEL;LQC19-1994
CHMine;560093;0.8000;1.7000;560094;0.0500;4.3000;;-50.0000;;11/08/2019;CHANNEL;LQC19-1994
CHMine;560093;1.7000;2.6000;560095;0.0150;1.0000;;111.0000;;11/08/2019;CHANNEL;LQC19-1994
