MOD;CUTOFF;TONNES;Ag_E;Ag;Au;AgE_oz
E_type;0;;;;;0
E_type;25;;;;;0
E_type;50;;;;;0
E_type;75;;;;;0
E_type;100;;;;;0
E_type;125;;;;;0
E_type;150;;;;;0
E_type;175;;;;;0
E_type;200;;;;;0
E_type;225;;;;;0
E_type;250;;;;;0
Kriging Ordinario;0;9865900.52;278.778538;181.4470846;1.216643169;88427389.93
Kriging Ordinario;25;9627885.053;285.2900814;185.7038822;1.24482749;88309679.3
Kriging Ordinario;50;9065991.978;300.5801828;195.7135805;1.310832529;87612568.56
Kriging Ordinario;75;8294976.849;322.6659037;210.1967965;1.40586384;86051608.38
Kriging Ordinario;100;7397638.378;351.2009848;228.8550401;1.529324311;83529438.29
Kriging Ordinario;125;6567332.349;381.4217978;248.6364918;1.659816327;80535107.35
Kriging Ordinario;150;5812049.511;413.134579;269.3882013;1.796829719;77198984.93
Kriging Ordinario;175;5120757.482;447.0147296;291.4527095;1.944525253;73594740.83
Kriging Ordinario;200;4544478.42;479.978064;312.8134345;2.089557869;70128762.16
Kriging Ordinario;225;4079842.164;510.501659;332.6735338;2.222851567;66962438.1
Kriging Ordinario;250;3668170.077;541.1764431;352.6888364;2.356095082;63823275.04
Recurso Recuperable;0;9,865,297;286.4330738;185.6689412;1.259551656;90849817.22
Recurso Recuperable;25;9,255,761;304.2659025;197.3105551;1.336941843;90543264.07
Recurso Recuperable;50;8,281,342;335.5388043;217.7547547;1.472300621;89337590.22
Recurso Recuperable;75;7,297,824;372.2244287;241.7201171;1.631303895;87335139.77
Recurso Recuperable;100;6,418,832;411.0888237;267.0805207;1.800103787;84836436.45
Recurso Recuperable;125;5,661,087;450.8978396;293.0266128;1.973390334;82067031.84
Recurso Recuperable;150;5,020,697;490.6965765;318.9436321;2.146911808;79207774.52
Recurso Recuperable;175;4,475,414;530.4892975;344.8290551;2.32075303;76330935.25
Recurso Recuperable;200;4,012,462;569.8446712;370.4089744;2.49294621;73511995.46
Recurso Recuperable;225;3,614,991;608.8903949;395.7699981;2.664004961;70768033.83
Recurso Recuperable;250;3,273,905;647.3385256;420.7314019;2.832589045;68137823.19
